"","cy","Dates","Year","GDP","NationalPrice","Month","ExchangeRate","Country","RealInterest","CPI","MaizePrice","Electionlag","Election","MaizeYield","ForexRev","WorldPrice","GasPrice","Wedge","UreaMaizeRatio","LagMaize","CorruptionEstimate"
"600","Nigeria 2022",2022-03-01,"2022",475058.516256,333384.615384615,3,415.25,"Nigeria",0.91923189527194,1.03405335504574,505.529199277544,"0","1",22326,35563.9499554969,872.5,271.08,-4.93664155294798,1.58814323190446,171.47031556807,-1.10103046894073
"601","Nigeria 2022",2022-04-01,"2022",475058.516256,488333.333333333,4,414.829987,"Nigeria",0.91923189527194,1.05225346041477,512.694372791329,"0","1",22326,35563.9499554969,925,243.44,6.22333025968524,2.29608349280534,352.299527249448,-1.10103046894073
"602","Nigeria 2022",2022-05-01,"2022",475058.516256,505833.333333333,5,414.720001,"Nigeria",0.91923189527194,1.07100435844629,503.568671625268,"0","1",22326,35563.9499554969,707.5,248.79,6.93186023839296,2.42210942986656,185.982349147618,-1.10103046894073
"603","Nigeria 2022",2022-06-01,"2022",475058.516256,515000,6,414.600006,"Nigeria",0.91923189527194,1.09044973418267,497.445723625966,"0","1",22326,35563.9499554969,690,263.24,7.00698785419999,2.49707866040215,528.945466765554,-1.10103046894073
"604","Nigeria 2022",2022-07-01,"2022",475058.516256,513500,7,414.959991,"Nigeria",0.91923189527194,1.11027827003209,475.962994707121,"0","1",22326,35563.9499554969,601,344.93,7.14908303698634,2.59992628057128,169.459969504822,-1.10103046894073
"605","Nigeria 2022",2022-08-01,"2022",475058.516256,511666.666666667,8,422.380005,"Nigeria",0.91923189527194,1.12991522582499,449.839002203715,"0","1",22326,35563.9499554969,591.25,454.04,7.12309214439446,2.6929399360361,183.163285769302,-1.10103046894073
"606","Nigeria 2022",2022-09-01,"2022",475058.516256,511500,9,431.540009,"Nigeria",0.91923189527194,1.14526557785335,488.57810539648,"0","1",22326,35563.9499554969,678,391.32,6.9222307226047,2.4259987383858,407.857373737374,-1.10103046894073
"607","Nigeria 2022",2022-10-01,"2022",475058.516256,510666.666666667,10,437.5,"Nigeria",0.91923189527194,1.15951434455673,484.666514285714,"0","1",22326,35563.9499554969,636.25,268.55,6.96788766872264,2.40833245300293,465.425241438119,-1.10103046894073
"608","Nigeria 2022",2022-11-01,"2022",475058.516256,510166.666666667,11,443.440002,"Nigeria",0.91923189527194,1.17567891182528,465.09335889819,"0","1",22326,35563.9499554969,588.75,247.18,7.02416050106224,2.47364329433365,188.366042589583,-1.10103046894073
"609","Nigeria 2022",2022-12-01,"2022",475058.516256,519166.666666667,12,447.579987,"Nigeria",0.91923189527194,1.1958427127736,450.513887699809,"0","1",22326,35563.9499554969,519.38,252.12,7.15549315263312,2.57470785537994,435.693827160494,-1.10103046894073
