"","cy","Dates","Year","GDP","NationalPrice","Month","ExchangeRate","Country","RealInterest","CPI","MaizePrice","Manufacturing","Importing","Blending","Wholesaling","Retailing","Election0","Election1","WorldPrice","Wedge","UreaMaizeRatio","LagMaize","CorruptionEstimate"
"115","Ghana 2019",2019-10-01,"2019",68353.477449,365.63071297989,10,5.47,"Ghana",0,0.779902992587169,310.786106032907,0,6,6,6,100,"0","0",237,128.63071297989,1.17647058823529,316.774521921005,-0.108893923461437
"116","Ghana 2020",2020-07-01,"2020",70043.095503,407.213496218732,7,5.73,"Ghana",0,0.862176260638785,307.155322862129,0,6,6,6,100,"0","1",214.4,192.813496218732,1.32575757575758,139.66774120424,-0.127230331301689
"117","Ghana 2020",2020-08-01,"2020",70043.095503,404.784155499106,8,5.764389,"Ghana",0,0.858881669259632,292.22524711639,0,6,6,6,100,"0","1",249.5,155.284155499106,1.38517858909667,281.255447285297,-0.127230331301689
"118","Ghana 2020",2020-06-01,"2020",70043.095503,407.213496218732,6,5.73,"Ghana",0,0.857417406424453,306.771378708551,0,6,6,6,100,"0","1",202,205.213496218732,1.3274168468161,245.534364427649,-0.127230331301689
"119","Ghana 2020",2020-01-01,"2020",70043.095503,378.953771289538,1,5.48,"Ghana",0,0.798572343735701,289.215328467153,0,6,6,6,100,"0","1",215.4,163.553771289538,1.31028245735798,438.541666666667,-0.127230331301689
"120","Ghana 2020",2020-11-01,"2020",70043.095503,239.655172413793,11,5.8,"Ghana",0,0.861535645648394,282.689655172414,0,6,6,6,100,"0","1",245,-5.34482758620689,0.847767748231276,263,-0.127230331301689
"121","Ghana 2020",2020-02-01,"2020",70043.095503,386.504975124378,2,5.36,"Ghana",0,0.801958451542052,310.951492537313,0,6,6,6,100,"0","1",214.38,172.124975124378,1.24297514049719,291.80258176511,-0.127230331301689
"122","Ghana 2020",2020-09-01,"2020",70043.095503,406.50406504065,9,5.74,"Ghana",0,0.857417406424453,274.878048780488,0,6,6,6,100,"0","1",250.5,156.00406504065,1.47885241052943,242.365779979983,-0.127230331301689
"123","Ghana 2020",2020-04-01,"2020",70043.095503,366.086956521739,4,5.75,"Ghana",0,0.834629816051981,295.652173913043,0,6,6,6,100,"0","1",235,131.086956521739,1.23823529411765,220.914487699384,-0.127230331301689
"124","Ghana 2020",2020-10-01,"2020",70043.095503,384.677237711988,10,5.805733,"Ghana",0,0.858973185686831,306.214564121361,0,6,6,6,100,"0","1",245,139.677237711988,1.25623429707129,282.452749882775,-0.127230331301689
"125","Ghana 2020",2020-05-01,"2020",70043.095503,407.925407925408,5,5.72,"Ghana",0,0.848906378694976,306.923076923077,0,6,6,6,100,"0","1",201.9,206.025407925408,1.3290802764487,159.379136411459,-0.127230331301689
"126","Ghana 2020",2020-12-01,"2020",70043.095503,228.869895536562,12,5.85,"Ghana",0,0.869497574814679,289.641025641026,0,6,6,6,100,"0","1",245,-16.1301044634378,0.790184660581261,265.562913907285,-0.127230331301689
"127","Ghana 2020",2020-03-01,"2020",70043.095503,361.547411285631,3,5.73,"Ghana",0,0.808547634300357,286.980802792321,0,6,6,6,100,"0","1",231.13,130.417411285631,1.25983134679316,249.71256882491,-0.127230331301689
"128","Ghana 2021",2021-01-01,"2021",79082.784426,232.657200811359,1,5.8,"Ghana",0,0.878008602544157,392.724137931035,0,6,6,6,100,"1","0",265,-32.342799188641,0.592418897491387,277.181376745068,-0.128527134656906
"129","Ghana 2021",2021-11-01,"2021",79082.784426,1061.35986733002,11,6.03,"Ghana",0,0.967420151917269,534.361525704809,0,6,6,6,100,"1","0",900.5,160.859867330017,1.98622059462479,356.628141016092,-0.128527134656906
"130","Ghana 2021",2021-04-01,"2021",79082.784426,394.202898550725,4,5.75,"Ghana",0,0.905738079985357,426.869565217391,0,6,6,6,100,"1","0",328.1,66.1028985507246,0.923473891491818,461.235216819974,-0.128527134656906
"131","Ghana 2021",2021-05-01,"2021",79082.784426,417.391304347826,5,5.75,"Ghana",0,0.912784844879656,440.573913043478,0,6,6,6,100,"1","0",331.63,85.7613043478261,0.947380886590613,426.869565217391,-0.128527134656906
"132","Ghana 2021",2021-06-01,"2021",79082.784426,412.371134020619,6,5.82,"Ghana",0,0.924407431133889,549.828178694158,0,6,6,6,100,"1","0",393.25,19.1211340206185,0.75,285.059820578181,-0.128527134656906
"133","Ghana 2021",2021-02-01,"2021",79082.784426,253.149299389145,2,5.732783,"Ghana",0,0.884414752448064,361.464928988242,0,6,6,6,100,"1","0",335,-81.8507006108552,0.700342631020172,491.355316589466,-0.128527134656906
"134","Ghana 2021",2021-03-01,"2021",79082.784426,406.574394463668,3,5.78,"Ghana",0,0.892010615905555,393.512110726644,0,6,6,6,100,"1","0",352.88,53.6943944636678,1.0331941085953,477.631578947368,-0.128527134656906
"135","Ghana 2021",2021-12-01,"2021",79082.784426,1205.08568269762,12,6.03,"Ghana",0,0.979317287453098,530.679933665008,0,6,6,6,100,"1","0",890,315.085682697623,2.27083333333333,292.28711025792,-0.128527134656906
"136","Ghana 2021",2021-09-01,"2021",79082.784426,707.070707070707,9,5.94,"Ghana",0,0.948110185778347,532.171717171717,0,6,6,6,100,"1","0",418.75,288.320707070707,1.32865141880991,255.159817351598,-0.128527134656906
"137","Ghana 2021",2021-07-01,"2021",79082.784426,570.472000143625,7,5.959977,"Ghana",0,0.939507641621671,536.914823664588,0,6,6,6,100,"1","0",441.5,128.972000143625,1.0625,283.090558033847,-0.128527134656906
"138","Ghana 2021",2021-10-01,"2021",79082.784426,868.113522537563,10,5.99,"Ghana",0,0.953784204264665,536.69449081803,0,6,6,6,100,"1","0",695,173.113522537563,1.61751897474182,358.574002869227,-0.128527134656906
