"","Year","Dates","cy","GDP","LocalUreaPrice","Month","ExchangeRate","Country","RealInterest","CPI","LocalMaizePrice","ElectionYr","OneYrAfterElectionYr","LocalMaizeYield","ForexRev","WorldUreaPrice","WorldGasPrice","Wedge","UreaMaizeRatio","LagMaize","CorruptionControl","ExchangeRateMovements","CPIMovements","CR4ratioAnnual","MonthlyUreaImportMT","NumFirmsImportingFert","FuelPrice","SharePrivateSectorSalesAnnual"
"68","2016",2016-02-01,"Ghana 2016",56165.172896,575.918251782451,2,3.8851,"Ghana",25.9166666666667,0.563832707971081,411.443720882345,"0","1",19500,3904430461.43612,191.88,48.43,6.6438910372823,1.39974976540507,229.90405547392,-0.175110563635826,-0.0190953017523072,0.00716732177200574,0.78,32401.15,28,0.890496169124776,0.453134953537232
"69","2016",2016-03-01,"Ghana 2016",56165.172896,566.567299478758,3,3.8242,"Ghana",25.9166666666667,0.573350416399744,424.010250509911,"0","1",19500,3904430461.43612,201.75,44.49,6.5925457378519,1.33621132696063,263.705209407924,-0.175110563635826,-0.0157994284373599,0.0167394863155979,0.78,32401.15,28,0.904677230967697,0.453134953537232
"70","2016",2016-10-01,"Ghana 2016",56165.172896,536.040337035362,10,3.9798,"Ghana",25.9166666666667,0.606662395900064,416.1013116237,"0","1",19500,3904430461.43612,187.5,66.37,6.54690320672325,1.28824476650564,164.819515819454,-0.175110563635826,0.00804777480763308,0.0141286057015527,0.78,308,28,0.869306665326566,0.453134953537232
"71","2016",2016-11-01,"Ghana 2016",56165.172896,498.442367601246,11,4.28,"Ghana",25.9166666666667,0.611604282968793,322.429906542056,"0","1",19500,3904430461.43612,205,62.58,6.3748313413332,1.54589371980676,251.482803737065,-0.175110563635826,0.0727214428162772,0.0081130252696785,0.78,397.188,28,0.808333333333333,0.453134953537232
"72","2016",2016-12-01,"Ghana 2016",56165.172896,479.687314935449,12,4.2215,"Ghana",25.9166666666667,0.61736981788231,261.518417624067,"0","1",19500,3904430461.43612,217.75,74.42,6.26125604342555,1.83423913043478,261.488121991839,-0.175110563635826,-0.013762494466288,0.00938274811052536,0.78,397.188,28,0.819534920446919,0.453134953537232
"73","2016",2016-04-01,"Ghana 2016",56165.172896,588.681466722516,4,3.7857,"Ghana",25.9166666666667,0.581312345566029,442.296008664184,"0","1",19500,3904430461.43612,196.25,46.63,6.66551071880721,1.33096716947649,246.354533568742,-0.175110563635826,-0.0101184847318845,0.0137911355968031,0.78,21334.538,28,0.913877662431431,0.453134953537232
"74","2016",2016-05-01,"Ghana 2016",56165.172896,564.726163540239,5,3.8451,"Ghana",25.9166666666667,0.587901528324334,454.604561649892,"0","1",19500,3904430461.43612,198.38,48.17,6.59672773174889,1.24223602484472,442.296008664184,-0.175110563635826,0.0155688000769134,0.0112712526996258,0.78,21334.538,28,0.899759867537039,0.453134953537232
"75","2016",2016-06-01,"Ghana 2016",56165.172896,561.941251596424,6,3.915,"Ghana",25.9166666666667,0.595771941063421,446.487867177522,"0","1",19500,3904430461.43612,142.63,58.11,6.73176209050582,1.25858123569794,231.748506443807,-0.175110563635826,0.0180157190210155,0.0132984795760174,0.78,135,28,0.883695189442316,0.453134953537232
"76","2016",2016-07-01,"Ghana 2016",56165.172896,553.384585259537,7,3.9153,"Ghana",25.9166666666667,0.600988377413746,446.453656169387,"0","1",19500,3904430461.43612,181,60.66,6.61307613497312,1.23951182303585,341.343279880858,-0.175110563635826,7.66254166879587e-05,0.00871765098835775,0.78,3300,28,0.883627478524421,0.453134953537232
"77","2016",2016-08-01,"Ghana 2016",56165.172896,545.740684333435,8,3.9396,"Ghana",25.9166666666667,0.5972362038986,432.023555690933,"0","1",19500,3904430461.43612,186.25,57.97,6.57783737902021,1.26321974148061,265.738786620779,-0.175110563635826,0.0061872404539558,-0.00626290903770654,0.78,32401.15,28,0.878177141503368,0.453134953537232
"78","2016",2016-09-01,"Ghana 2016",56165.172896,540.371674392293,9,3.9479,"Ghana",25.9166666666667,0.598151368170587,419.463512247017,"0","1",19500,3904430461.43612,187.3,61.38,6.55982026594203,1.28824476650564,247.225581557567,-0.175110563635826,0.00210459665638485,0.00153115938657278,0.78,4220.093,28,0.876330876330876,0.453134953537232
"79","2017",2017-03-01,"Ghana 2017",60403.027568,469.526932372728,3,4.3306,"Ghana",22.25,0.646655074585888,297.418371588233,"1","0",20112,4504457459.66362,223.5,64.42,6.1985923218985,1.57867494824017,441.936461163488,-0.253569841384888,-0.060350202950997,0.012675523979854,0.76,4961.08,35,0.934493295771179,0.584457532335172
"80","2017",2017-04-01,"Ghana 2017",60403.027568,484.023264855944,4,4.2009,"Ghana",22.25,0.657087947286538,315.360994072699,"1","0",20112,4504457459.66362,207.88,67.18,6.31407026562199,1.53482286634461,501.495669889847,-0.253569841384888,-0.0304073124963482,0.0160048341231794,0.76,8800,35,0.963345156196688,0.584457532335172
"81","2017",2017-01-01,"Ghana 2017",60403.027568,429.950896318399,1,4.2563,"Ghana",22.25,0.634483389768463,259.380212860936,"1","0",20112,4504457459.66362,233.75,74.26,5.97229279039399,1.65760869565217,260.573923280683,-0.253569841384888,0.00820972314951729,0.0273428833208949,0.76,677.025,35,0.950806255824699,0.584457532335172
"82","2017",2017-02-01,"Ghana 2017",60403.027568,413.04347826087,2,4.6,"Ghana",22.25,0.638510112565205,265,"1","0",20112,4504457459.66362,191.88,68.75,6.09205444030344,1.55865463494668,263.215518003851,-0.253569841384888,0.0776560652181144,0.00632640499674608,0.76,4961.08,35,0.879764492753623,0.584457532335172
"83","2017",2017-11-01,"Ghana 2017",60403.027568,389.45410786566,11,4.5705,"Ghana",22.25,0.683444678319759,271.742697735478,"1","0",20112,4504457459.66362,280,73.88,5.38867340282622,1.43317230273752,220.336134453782,-0.253569841384888,0.0474028761601537,0.00914722546935226,0.76,2139.55,35,0.885442876417606,0.584457532335172
"84","2017",2017-12-01,"Ghana 2017",60403.027568,402.334171793523,12,4.5094,"Ghana",22.25,0.690399926786858,306.027409411452,"1","0",20112,4504457459.66362,214.63,73.29,5.92802144533733,1.31469979296066,213.120448179272,-0.253569841384888,-0.0134585011414616,0.01012531965168,0.76,2139.55,35,0.897440162031904,0.584457532335172
"85","2017",2017-05-01,"Ghana 2017",60403.027568,492.287495897604,5,4.2658,"Ghana",22.25,0.661846801500869,323.503211589854,"1","0",20112,4504457459.66362,178.75,68.16,6.44106868069625,1.52173913043478,400.719747713818,-0.253569841384888,0.0153309485770809,0.00721624002974247,0.76,11906.437,35,0.948688796161721,0.584457532335172
"86","2017",2017-06-01,"Ghana 2017",60403.027568,480.004208256072,6,4.3452,"Ghana",22.25,0.667886885695983,330.824818190187,"1","0",20112,4504457459.66362,191,64.96,6.35959142316463,1.45093167701863,186.687303127078,-0.253569841384888,0.0184420509526739,0.00908471492438073,0.76,42813.71101,35,0.931353370769278,0.584457532335172
