Date,Open,High,Low,Close,Adj Close,Volume
2011/4/1,4.71,4.72,4.8,4.61,,
2011/3/1,4.71,4.76,4.84,4.61,,
2011/2/1,4.76,4.83,4.85,4.65,,
2011/1/1,4.84,4.8,4.88,4.72,,
2010/12/1,4.8,4.91,4.92,4.61,,
2010/11/1,4.95,4.66,4.95,4.61,,
2010/10/1,4.65,4.82,4.85,4.56,,
2010/9/1,4.84,4.93,4.96,4.8,,
2010/8/1,4.93,4.85,5.07,4.77,,
2010/7/1,4.86,5.17,5.17,4.85,,
2010/6/1,5.17,5,5.29,5,,
2010/5/1,5,4.74,5.14,4.67,,
2010/4/1,4.74,4.68,4.76,4.56,,
2010/3/1,4.68,4.75,4.79,4.56,,
2010/2/1,4.75,4.58,4.75,4.55,,
